0.000000 -0.761200
0.052100 -0.742500
0.102600 -0.724400
0.153200 -0.706300
0.204200 -0.688000
0.255400 -0.669700
0.306600 -0.651300
0.357900 -0.633000
0.409100 -0.614600
0.460400 -0.596300
0.511800 -0.577900
0.563400 -0.559400
0.615300 -0.540800
0.667200 -0.522200
0.719100 -0.503700
0.771000 -0.485100
0.822900 -0.466500
0.874900 -0.447900
0.926800 -0.429300
0.978700 -0.410700
1.030600 -0.392100
1.082600 -0.373600
1.134500 -0.355000
1.186400 -0.336400
1.238300 -0.317800
1.290000 -0.299300
1.342000 -0.280700
1.394000 -0.262100
1.445900 -0.243500
1.497700 -0.225000
1.549600 -0.206400
1.601500 -0.187800
1.653300 -0.169300
1.705200 -0.150800
1.757100 -0.132200
1.808900 -0.113600
1.860800 -0.095100
1.912600 -0.076600
1.964400 -0.058100
2.016400 -0.039500
2.068300 -0.020900
2.120500 -0.002500
2.171500 0.016900
2.221900 0.027800
2.271400 0.032500
2.320300 0.035600
2.369300 0.037900
2.418100 0.039700
2.466900 0.040900
2.515700 0.041800
2.564500 0.042300
2.613300 0.042700
2.662000 0.042700
2.710800 0.042700
2.759500 0.042500
2.808300 0.042200
2.857000 0.041800
2.905800 0.041300
2.954600 0.040700
3.003400 0.040100
3.052200 0.039400
3.101000 0.038700
3.158100 0.037900
3.224800 0.036800
3.302900 0.035600
3.394200 0.034100
3.501000 0.032400
3.625900 0.030400
3.772100 0.028200
3.943200 0.025800
4.143500 0.023100
4.378000 0.020300
4.652600 0.017400
4.974100 0.014600
5.350500 0.011900
5.791400 0.009400
6.307400 0.007200
6.911400 0.005300
7.618300 0.003800
8.445200 0.002600
9.412400 0.001700
10.543300 0.001100
11.865700 0.000600
13.411500 0.000300
15.218500 0.000200
17.330700 0.000000
19.799600 -0.000000
22.685300 -0.000100
26.058200 -0.000200
30.000400 -0.000200
